encode_time;decode_time;peak_enc_mem;peak_dec_mem;peak_delta_enc;peak_delta_dec;param_name;layer_type;shape;numel;bits_quant;raw_bytes;qstep;mse_quant;nmse_quant;mse_post;nmse_post;compressed_bytes;compression_ratio;compression_gain_pct;bits_per_element;decoded_equal
0,00011984000011577809;3.786000015679747e-05;1063715635,2;1063724646,4;18841,6;18022,4;class_token;other;(1, 1, 768);768;8;768;0,0028897969749154;6.460301733568485e-07;0,0025045773334279;6.460301733568485e-07;0,0025045773334279;227;3,383259911894273;70,44270833333333;2,364583333333333;True
0,00045344000063772;0,00013471999955068;1063724646,4;1063727104,0;19660,8;17203,2;class_token;other;(1, 1, 768);768;16;1536;1.1570577196379032e-05;1.0097453255475395e-11;3.9146550102456366e-08;1.0097453255475395e-11;3.9146550102456366e-08;993;1,5468277945619335;35,3515625;10,34375;True
0,00024348000006280002;5.686000004061498e-05;1079059251,2;1075512115,2;19660,8;19660,8;conv_proj.bias;bias;(768,);768;8;768;0,0014856336045748;1.7144508035471517e-07;0,0001517408992284;1.7144508035471517e-07;0,0001517408992284;564;1,3617021276595744;26,5625;5,875;True
0,00049132000021922;0,00014221999954312;1070786150,4;1070785331,2;20480,0;19660,8;conv_proj.bias;bias;(768,);768;16;1536;5.859438651175952e-06;2.784753981230348e-12;2.464702237985112e-09;2.784753981230348e-12;2.464702237985112e-09;1353;1,1352549889135255;11,9140625;14,09375;True
0,05494612000002228;0,014604340000369078;1076385382,4;1078118809,6;503808,0;490700,8;conv_proj.weight;weight;(768, 3, 16, 16);589824;8;589824;0,00390625;1.140837980528886e-06;0,0134179984526934;1.140837980528886e-06;0,0134179984526934;139888;4,216401692782798;76,28309461805556;1,897352430555556;True
0,05224494000030968;0,014139420000356001;1084742041,6;1085202432,0;22118,4;1436057,6;conv_proj.weight;weight;(768, 3, 16, 16);589824;16;1179648;0,00390625;1.140837980528886e-06;0,0134179984526934;1.140837980528886e-06;0,0134179984526934;139849;8,435155060100538;88,14485337999132;1,8968234592013888;True
0,0001400399996782;5.36600000486942e-05;1075672678,4;1075671859,2;20480,0;19660,8;encoder.layers.encoder_layer_0.ln_1.bias;bias;(768,);768;8;768;0,0008679951706879;5.8707474437369456e-08;0,0003730378522105;5.8707474437369456e-08;0,0003730378522105;442;1,737556561085973;42,44791666666666;4,604166666666667;True
0,00044407999994285996;0,00016625999996898;1075671859,2;1075671859,2;19660,8;19660,8;encoder.layers.encoder_layer_0.ln_1.bias;bias;(768,);768;16;1536;3.4216937460819976e-06;9.232944270243237e-13;5.866778861056039e-09;9.232944270243237e-13;5.866778861056039e-09;1217;1,2621199671322925;20,768229166666664;12,677083333333334;True
0,00040681999962540003;7.795999990774581e-05;1075915161,6;1075915161,6;20480,0;20480,0;encoder.layers.encoder_layer_0.ln_1.weight;weight;(768,);768;8;768;0,0019559893944357;3.244256276957458e-07;6.906681614173345e-05;3.244256276957458e-07;6.906681614173345e-05;637;1,205651491365777;17,057291666666664;6,635416666666667;True
0,00062232000018406;0,00019607999965950003;1075671859,2;1075671859,2;19660,8;19660,8;encoder.layers.encoder_layer_0.ln_1.weight;weight;(768,);768;16;1536;7.690412836003668e-06;4.399180238839895e-12;9.365393692487455e-10;4.399180238839895e-12;9.365393692487455e-10;1424;1,0786516853932584;7,2916666666666625;14,833333333333334;True
0,0002532199996494;0,00011733999963323992;1095043481,6;1095045939,2;18022,4;20480,0;encoder.layers.encoder_layer_0.ln_2.bias;bias;(768,);768;8;768;0,0008742999329506;5.9076214142805845e-08;6.086646053988791e-05;5.9076214142805845e-08;6.086646053988791e-05;641;1,1981279251170047;16,536458333333336;6,677083333333333;True
0,0007485800000721999;0,0001295000001846;1095045939,2;1095045939,2;20480,0;20480,0;encoder.layers.encoder_layer_0.ln_2.bias;bias;(768,);768;16;1536;3.456656154056231e-06;9.324948582398185e-13;9.60753195109983e-10;9.324948582398185e-13;9.60753195109983e-10;1419;1,0824524312896406;7,6171875;14,78125;True
0,0003341399999044;6.315999999060296e-05;1095045120,0;1095045939,2;19660,8;20480,0;encoder.layers.encoder_layer_0.ln_2.weight;weight;(768,);768;8;768;0,0081248427663799;4.731812168756733e-06;0,0001317458546046;4.731812168756733e-06;0,0001317458546046;563;1,3641207815275311;26,692708333333336;5,864583333333333;True
0,00047094000001373997;0,00012506000020944002;1095045120,0;1095045939,2;19660,8;20480,0;encoder.layers.encoder_layer_0.ln_2.weight;weight;(768,);768;16;1536;3.097573992656394e-05;7.367200599572854e-11;2.0512186545427893e-09;7.367200599572854e-11;2.0512186545427893e-09;1362;1,1277533039647578;11,32812500000001;14,1875;True
0,0010427400000480199;0,00022570000000992;1148293120,0;1132832358,4;20480,0;18841,6;encoder.layers.encoder_layer_0.mlp.0.bias;bias;(3072,);3072;8;3072;0,0009883960587047;8.3640600223589e-08;0,0001660625471008;8.3640600223589e-08;0,0001660625471008;1907;1,610907184058731;37,923177083333336;4,966145833333333;True
0,00194779999947054;0,00054640000016656;1113955532,8;1113956352,0;18841,6;18841,6;encoder.layers.encoder_layer_0.mlp.0.bias;bias;(3072,);3072;16;6144;3.9419152460375845e-06;1.2593872342550605e-12;2.5004250489313384e-09;1.2593872342550605e-12;2.5004250489313384e-09;5087;1,20778454885001;17,203776041666664;13,247395833333334;True
0,40383942000007667;0,10752042000021897;1143585177,6;1155359539,2;1353318,4;9460940,8;encoder.layers.encoder_layer_0.mlp.0.weight;weight;(3072, 768);2359296;8;2359296;0,00390625;1.2845282526541268e-06;0,0023023613200178;1.2845282526541268e-06;0,0023023613200178;1298521;1,81691016163774;44,96150546603732;4,403079562717014;True
0,42065722000043027;0,11048536000016607;1175568384,0;1176598937,6;1345945,6;9460121,6;encoder.layers.encoder_layer_0.mlp.0.weight;weight;(3072, 768);2359296;16;4718592;0,00390625;1.2845282526541268e-06;0,0023023613200178;1.2845282526541268e-06;0,0023023613200178;1296678;3,638985160541013;72,51981099446614;4,396830240885417;True
0,00019466000012468;7.002000020292287e-05;1166550630,4;1151248793,6;18841,6;18022,4;encoder.layers.encoder_layer_0.mlp.3.bias;bias;(768,);768;8;768;0,0007117408380653;4.342662762724103e-08;0,0001996749889551;4.342662762724103e-08;0,0001996749889551;562;1,3665480427046264;26,822916666666675;5,854166666666667;True
0,0005211600000620201;0,00017399999996992;1132367872,0;1132367872,0;19660,8;19660,8;encoder.layers.encoder_layer_0.mlp.3.bias;bias;(768,);768;16;1536;2.8104709386689814e-06;5.949071530536587e-13;2.735374255513217e-09;5.949071530536587e-13;2.735374255513217e-09;1344;1,1428571428571428;12,5;14,0;True
0,28218999999990046;0,07738443999987787;1162126131,2;1173361459,2;982220,8;9459302,4;encoder.layers.encoder_layer_0.mlp.3.weight;weight;(768, 3072);2359296;8;2359296;0,00390625;1.270579900847224e-06;0,0078765881022577;1.2801497177861163e-06;0,0079359133805746;941779;2,505148235414041;60,0822024875217;3,193423800998264;True
0,2881259399997361;0,07895978000015018;1193224601,6;1194874470,4;998604,8;9460121,6;encoder.layers.encoder_layer_0.mlp.3.weight;weight;(768, 3072);2359296;16;4718592;0,00390625;1.270579900847224e-06;0,0078765881022577;1.270579900847224e-06;0,0078765881022577;941379;5,012425388711667;80,04957834879558;3,1920674641927085;True
0,00057965999985752;0,00012864000018448;1115752038,4;1104040755,2;20480,0;19660,8;encoder.layers.encoder_layer_0.self_attention.in_proj_bias;bias;(2304,);2304;8;2304;0,0026404621319889;5.442453243631462e-07;9.89221042127295e-05;5.442453243631462e-07;9.89221042127295e-05;1320;1,7454545454545454;42,70833333333333;4,583333333333333;True
0,00157833999983262;0,00040452000030194;1089906278,4;1089907916,8;20480,0;20480,0;encoder.layers.encoder_layer_0.self_attention.in_proj_bias;bias;(2304,);2304;16;4608;1.0636328284428238e-05;9.212665352809069e-12;1.674495308111263e-09;9.212665352809069e-12;1.674495308111263e-09;3636;1,2673267326732671;21,09375;12,625;True
0,35279794000016407;0,09380421999994722;1112191795,2;1121039155,2;1129676,8;7102464,0;encoder.layers.encoder_layer_0.self_attention.in_proj_weight;weight;(2304, 768);1769472;8;1769472;0,00390625;1.2714205013253377e-06;0,0008892291413753;1.2923674148623832e-06;0,0009038793738669;1083431;1,6332115289298534;38,77094410083912;4,89832447193287;True
0,375912899999821;0,09762431999988616;1136320512,0;1136975052,8;1137868,8;7102464,0;encoder.layers.encoder_layer_0.self_attention.in_proj_weight;weight;(2304, 768);1769472;16;3538944;0,00390625;1.2714205013253377e-06;0,0008892291413753;1.2714205013253377e-06;0,0008892291413753;1081772;3,271432427535562;69,43235044126158;4,890823929398148;True
0,00023761999982518;8.415999982385963e-05;1103319859,2;1099771084,8;20480,0;18841,6;encoder.layers.encoder_layer_0.self_attention.out_proj.bias;bias;(768,);768;8;768;0,0010634908099947;1.0006482398239315e-07;0,0002646921264762;1.0006482398239315e-07;0,0002646921264762;522;1,471264367816092;32,03125;5,4375;True
0,0004911600000923;0,00014031999999126001;1095045120,0;1095043481,6;19660,8;18022,4;encoder.layers.encoder_layer_0.self_attention.out_proj.bias;bias;(768,);768;16;1536;4.111475425711766e-06;1.3392248464708099e-12;3.5425263177853392e-09;1.3392248464708099e-12;3.5425263177853392e-09;1318;1,165402124430956;14,192708333333336;13,729166666666666;True
0,10172960000018064;0,02681349999984372;1101737984,0;1102776729,6;32768,0;965017,6;encoder.layers.encoder_layer_0.self_attention.out_proj.weight;weight;(768, 768);589824;8;589824;0,00390625;1.2728716001220164e-06;0,0033113762653546;1.2728716001220164e-06;0,0033113762653546;315804;1,867690086256032;46,457926432291664;4,283365885416667;True
0,10622039999980185;0,02798836000001752;1108922368,0;1109463859,2;20480,0;1437696,0;encoder.layers.encoder_layer_0.self_attention.out_proj.weight;weight;(768, 768);589824;16;1179648;0,00390625;1.2728716001220164e-06;0,0033113762653546;1.2728716001220164e-06;0,0033113762653546;315488;3,739121614768232;73,25575086805556;4,279079861111111;True
0,00014750000045747998;5.460000029415824e-05;1132368691,2;1132367872,0;20480,0;18022,4;encoder.layers.encoder_layer_1.ln_1.bias;bias;(768,);768;8;768;0,0017314158016141;2.1056564492027974e-07;0,0004449953765101;2.1056564492027974e-07;0,0004449953765101;450;1,7066666666666668;41,40625;4,6875;True
0,00066544000073914;0,0001186399997095;1132368691,2;1132370329,6;18841,6;20480,0;encoder.layers.encoder_layer_1.ln_1.bias;bias;(768,);768;16;1536;7.1024970327020095e-06;3.977093827878253e-12;8.404924583129199e-09;3.977093827878253e-12;8.404924583129199e-09;1218;1,2610837438423643;20,703125;12,6875;True
0,00032147999991134;8.354000055987348e-05;1132368691,2;1132368691,2;20480,0;20480,0;encoder.layers.encoder_layer_1.ln_1.weight;weight;(768,);768;8;768;0,0029747396427648;7.221647138067055e-07;8.799616895897813e-05;7.221647138067055e-07;8.799616895897813e-05;638;1,2037617554858937;16,927083333333336;6,645833333333333;True
0,00048717999998184;0,00016983999994405998;1132367872,0;1132367872,0;19660,8;19660,8;encoder.layers.encoder_layer_1.ln_1.weight;weight;(768,);768;16;1536;1.1869176148594418e-05;1.1221517638715373e-11;1.3673481177271312e-09;1.1221517638715373e-11;1.3673481177271312e-09;1436;1,0696378830083566;6,510416666666674;14,958333333333334;True
0,00023527999983337998;8.204000005206456e-05;1151767347,2;1151766528,0;20480,0;19660,8;encoder.layers.encoder_layer_1.ln_2.bias;bias;(768,);768;8;768;0,0012600430637614;1.1169785096853957e-07;2.6116402216147543e-05;1.1169785096853957e-07;2.6116402216147543e-05;651;1,1797235023041477;15,234375;6,78125;True
